Page URL,Custom label
https://new.yapo.cl/los_rios/celulares/Samsun_a21s_86903136.htm,Computadores & electronica
https://new.yapo.cl/biobio/celulares/Reloj_swatch_86043130.htm,Computadores & electronica
https://new.yapo.cl/region_metropolitana/celulares/IPhone_11_84153127.htm,Computadores & electronica
https://new.yapo.cl/los_rios/celulares/redmi_10a_85769411.htm,Computadores & electronica
https://new.yapo.cl/biobio/celulares/Motorola_G_50_84326045.htm,Computadores & electronica
https://new.yapo.cl/araucania/celulares/Iphone_12_85028331.htm,Computadores & electronica
https://new.yapo.cl/region_metropolitana/celulares/IPhone_14_85502993.htm,Computadores & electronica
https://new.yapo.cl/region_metropolitana/celulares/IPhone_8_86617480.htm,Computadores & electronica
https://new.yapo.cl/los_rios/celulares/Iphone_12_pro_max_87198211.htm,Computadores & electronica
https://new.yapo.cl/region_metropolitana/celulares/Alexa__86259340.htm,Computadores & electronica
https://new.yapo.cl/valparaiso/celulares/Apple_watch_85874348.htm,Computadores & electronica
https://new.yapo.cl/los_rios/celulares/Celular_Nokia_86390411.htm,Computadores & electronica
https://new.yapo.cl/valparaiso/celulares/IPhone_11_Pro_86546707.htm,Computadores & electronica
https://new.yapo.cl/los_rios/celulares/Xiaomi_POCO_M3_Repuesto_86978908.htm,Computadores & electronica
https://new.yapo.cl/antofagasta/celulares/Samsung_s10_86386337.htm,Computadores & electronica
https://new.yapo.cl/region_metropolitana/celulares/Gps_Garmin_nuevo_86559025.htm,Computadores & electronica
https://new.yapo.cl/region_metropolitana/celulares/Samsung_J7_Pro_86442165.htm,Computadores & electronica
https://new.yapo.cl/region_metropolitana/celulares/Garmin_VENU_SQ_86758567.htm,Computadores & electronica
https://new.yapo.cl/region_metropolitana/celulares/Iphone_xr_86890659.htm,Computadores & electronica
https://new.yapo.cl/region_metropolitana/celulares/Huawei_Watch_Fit_New_86712549.htm,Computadores & electronica
https://new.yapo.cl/region_metropolitana/celulares/Samsung_Note20_86414951.htm,Computadores & electronica
https://new.yapo.cl/valparaiso/celulares/IPhone_11_64_gb_84287010.htm,Computadores & electronica
https://new.yapo.cl/valparaiso/celulares/IPhone_12_mini_84126052.htm,Computadores & electronica
https://new.yapo.cl/coquimbo/celulares/IPhone_X_excelente_estado_86720409.htm,Computadores & electronica
https://new.yapo.cl/los_lagos/celulares/Iphone_xs_max_85180665.htm,Computadores & electronica
https://new.yapo.cl/region_metropolitana/celulares/IPhone_7_Rose__84710384.htm,Computadores & electronica
https://new.yapo.cl/biobio/celulares/Samsung_S22_ultra_85730741.htm,Computadores & electronica
https://new.yapo.cl/valparaiso/celulares/IPhone_X_86360716.htm,Computadores & electronica
https://new.yapo.cl/region_metropolitana/celulares/Iphone_XS_Max_de_256_gb_84446244.htm,Computadores & electronica
